Song Title,Performer(s),Places Mentioned in Text,Place Performed/Recorded,Place Published,Date Recorded/ Composed,Collector(s),Source,Source Publication Date,File Name/Location,English Translation,Comments
Corrido de Margarita,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1936-09-27/ed-1/seq-34/ocr/,"September 27, 1936",https://docs.google.com/document/d/1qQWE70F_044B1Gb1YEerK-baLQfQh-lSHScvIhzUXrk/edit,,Published in La Opinión
El Coyote Mordelon,,"Mexico City, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-01-03/ed-1/seq-34/ocr/,"January 3, 1937",https://docs.google.com/document/d/1BPQOWi3qebqH2lezUC0GfyQ5ZRUidwQOmP08L1ZlzRY/edit,,Published in La Opinión
Corrido de las Pesetas,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-10-31/ed-1/seq-26/ocr/,"October 31, 1937",https://docs.google.com/document/d/1EUATfSvz8YMuZOpesoVZJhDa-a1oZFLs1QU6_nEyXZI/edit,,Published in La Opinión
Corrido de la Despedida de los Tlacos,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-11-14/ed-1/seq-34/ocr/,"November 14, 1937",https://docs.google.com/document/d/1TLsnR2gGl_iLl9hK-266fwF0rTKBBWNFfnPpmF7kkjw/edit,,Published in La Opinión
Corrido de los Arcos Triunfales en Mexico,,"Plateros, Mexico City, Mexico; Tabasco, Mexico; Calle Mercaderes, Mexico City, Mexico; Yucatán, Mexico; Puebla, Mexico; Oaxaca, Mexico; Morelos, Mexico; Arriba, Mexico; Mitla, Oaxaca, Mexico; Ferrocarril del Valle, Mexico City, Mexico; monte Popocatepetl, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-10-17/ed-1/seq-34/ocr/,"October 17, 1937",https://docs.google.com/document/d/1MK-Ym4FjcMjACGKSP6ZmqrCS2MpwdaXlTvTFVyID8NI/edit,,Published in La Opinión
El Novillo Despuntado,,"Sonora, Mexico; Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-12-26/ed-1/seq-26/ocr/,"December 26, 1937",https://docs.google.com/document/d/1IKzUj5toNbek4PAuupARLvu51uEADq8Bxc0JRT32hSg/edit,,Published in La Opinión
El Castigador,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1938-12-25/ed-1/seq-26/ocr/,"December 25, 1938",https://docs.google.com/document/d/1IU7Mz0Mmk0fXBKtA8b9KTWgknymTvUgZKfH3VfKP4LA/edit,,Published in La Opinión
Las Morenas,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1939-04-16/ed-1/seq-26/ocr/,"April 16, 1939",https://docs.google.com/document/d/10u1uDwhupdsiWqZjSqw-LQX_-eBiLii3weXZckWLyKg/edit,,Published in La Opinión
Corrido de Augustin Niño,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1939-12-17/ed-1/seq-26/ocr/,"December 17, 1939",https://docs.google.com/document/d/1XfYM6odgD8wiQdS7R1aMpJ3wHiMI1rvMjoxlktg2eNc/edit,,Published in La Opinión
Aviador Carranza Guty Cardenas,,"San Diego, California; Mexico City, Mexico; Balbuena, Mexico City, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1939-05-21/ed-1/seq-26/ocr/,"May 21, 1939",https://docs.google.com/document/d/1l9nQKZstzowBajPoy6Sq6qnnIBQ-3Kmw52ssbhlrSLo/edit,,Published in La Opinión
Corrido de Aurelio Pompa,,"Caborca, Mexico; Sonora, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-02-28/ed-1/seq-34/ocr/,"February 28, 1937",https://docs.google.com/document/d/1Molly37-E8AQn79Iy1JGwNSbR5xV59MUQSDUGXiH6JY/edit,,Published in La Opinión
Corrido de la Pulga,,"Plaza de San Juan, Mexico City, Mexico","Mexico City, Mexico",Mexico,1821,"Quevedo, Pepe",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1X5ZGw3hidFSKBU0ApBmMjBH3Yz7zgLCguy8XkRRYsgQ/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de los Americanos,,,,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1SUAKNfHFKsw0hhpgcOywp0-5qELKQb-ywN1rgocOyds/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Leonardo Marquez,,,,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1GSSs1sbEiciV0OPxYPyFstgXUoKEENmqJ5oxHXSvC70/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Juan Jose Baz,,,,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1gKTyPJOQZR_BTN8KboP8wE5MLijTDpSdkyYYtbkE0ak/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de la Entrada de Juarez a la Ciudad de Mexico,,"Mexico City, Mexico; Juarez, Mexico; Lerdo, Mexico; Riva Palacio, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1nG1VN16lrSU9OaBf2P1gFmc0QJQvZT4Ew4tqfDrzpdE/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de los Martires de Veracruz,,"Veracruz, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1DrK-B2rxN2xaWCrCIQ3JVuD_sKfd510w2VWYiWwX5Kc/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de la Carambada,,,"Querétaro, Mexico",Mexico,1870,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1BRdJXOFxfeYmkTeMVHEyX5WLGs6ACZz3vM1llyNQfyE/edit,,compiled by Higinio Vazquez Santa Ana
Corrido el Prisionero de San Juan de Ulua,,"San Juan de Ulua, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1yzxp2LcnFYkpB_EeMqC3c5L8Jf9n-gHJ15zQFqsHXJw/edit,,compiled by Higinio Vazquez Santa Ana
Corrido del Desertor,,"Puebla, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1DqB_htMmcpdfnlgQPMGK_my-xeOWQibtAdRxLq7fSwU/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Leon Gzolgosz,,,"Mexico City, Mexico",Mexico,1901,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1PE4gxN7TpIA5RAotcerDlYFVsQ3E10IlHy0h7mj7XRQ/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de la Campana de la Independencia,,"Dolores Hidalgo, Mexico; Allende, Mexico; Aldama, Mexico",,Mexico,"Sept. 15, 1881","Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1KhvhL6vHItVuqTmGzCBEglxAfzT1FM2hzvhhkVyhTR8/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Gregorio Cortes,,"Sauz, Mexico; Texas border; Rio Grande; San Antonio, Texas; Laredo, Texas",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1yyUbQOlgi9-L_yXebJzPkGRJgcXR2NbsfLu-CKs-wFw/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de los Indios Mayas con el Veintiocho Batallon,,"Guadalajara, Mexico; Veracruz, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1Wn2AXEkF-jMkNr0LCBBFqNAAyZxC_I-tHumhelgocKk/edit,,compiled by Higinio Vazquez Santa Ana
Corrido del Descarrilamiento de Temamatla,,"Temamatla, Mexico; Ameca, Mexico; Tenango, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1nLLXwdr1Cht5J60nktlgTtUIqptPBZpPt7le-IWeVNc/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Heraclio Bernal,,"Sinaloa, Mexico; Mazatlan, Mexico; Sonora, Mexico; Sierra de Durango, Mexico; Durango, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1ZuEWOt0ZimtBxd7i4Q9wtq-awsHgQq9M5b6sLsukmug/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de la Ciudad de Mexico,,"Mexico City, Mexico; Santa Anita, Mexico City, Mexico; Gran Teatro Nacional, Mexico City, Mexico; Monte de Piedad, Mexico City, Mexico; Paseo de la Reforma, Mexico City, Mexico; La Indianilla, Mexico City, Mexico; la Villa de Guadalupe, Mexico City, Mexico; La Gran Penitenciaria, Mexico City, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1WsUezYTP39MiA3Wfp1uNrS5GcBOnLxEoCNCDSEG5fW4/edit,,compiled by Higinio Vazquez Santa Ana
Corrido del Costeño,,"Jalisco, Mexico; Guanajuato, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1GxZT76diOsKI-vR2rIH7S6LPMwOm_iRDBPvqka4QinQ/edit,,compiled by Higinio Vazquez Santa Ana
Corrido del Valiente del Bajío,,"Bajío, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1K5dI4-fzw6st9Spv6z1JuTre7MnPHqgTd6ESfsoVcBs/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de los Valientes Rurales,,"Rancheria de Amoles, Mexico; Bajió, Mexico",,Mexico,1910,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1Z9dX8HDeKf4KFattDE0u5hlAlg3jUyXh50HGUYjSEzM/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Belem Galindo,,"Nieves, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1YBVddkUJO9MG8YcyuGC4HXxyPv6cq4qSRmzii0r-7Dk/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Lino Zamora,,"Zacatecas, Mexico; Guanajuato, Mexico; Jerez, Zacatecas, Mexico; calle Tacuba, Jerez, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1tAhak3YSDNt6FVhk5s-Bpyh9AGD4zmPAtRJhhM8bcCs/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Ponciano Diaz,,"Atenco, Mexico; Jalisco, Mexico; Monterrey, Mexico; Coahuila, Mexico; Zacatecas, Mexico; Puebla, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1DVG-fxx1V2IUYz_d_o2Y_ZIa6fBFwJcJhwRhRhztQ0I/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Valentin Mancera,,"San Juan de Dios, Mexico; cerro de Galvanes, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1pzr0vssWchwvhCWlyaINiPsy7DekA-QZJIdIJwpy_18/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Ignacio Parra,,"Durango, Mexico; Canatlán, Mexico; Cañada region, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1wyNAtrN1pVmcSZfAr2h0X-qGq4Lfa6gPOigD6bZlHJE/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de la Peseta,,,,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1NJUnavxaKWQlL0YlWIeUYd2frccV-sNX36pwQ1ZT-P8/edit,,compiled by Higinio Vazquez Santa Ana
Corrido del General Cubano Antonio Maceo,,Cuba,,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1a53Al0JRgxEB0G29y4Tlds5Fn0xgm5GHMtOuW8VaBAk/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Martin Herrera,,"Guanaveci, Mexico; Mapimí, Mexico; Catarina, Mexico; Pachuca, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1ooPhWAwfIdvDbejuwk9eB0_gkaCekdFZZs7XFCTAzng/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Reyes Ruiz,,"Huejaquilla, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1XHvGt3E0km8g1ZDHm4BcKZPF88WopxX0lGtIHibL28o/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de la Guerra de los Cristeros,,"Zamora, Mexico; Patzcuaro, Mexico; Dolores, Mexico; Jimenez, Mexico; Laguna de San Jacinto",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1naHa1079TuKQt4zBl1seB_CzRlMzuA6GjDd_pqa02yU/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Nicolas Romero,,"Michoacán, Mexico; Tacambaro, Mexico; Ario, Mexico; Zitácuaro, Mexico; Mexico City, Mexico; Plaza de Mixcalco, Mexico City, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1LXUCcw9b8ZdsdaySo1ClUuA1YR4fvUsqno0DFaKc8bQ/edit,,compiled by Higinio Vazquez Santa Ana
Corrido del Asesinato de la Calle de San Hipolito,,"Pachuca, Mexico; Mexico City, Mexico; Calle de San Hipolito, Mexico City, Mexico; Panteón, Mexico City, Mexico","Mexico City, Mexico",Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1bhPwSADLcFBVs2pcBVS7uc9GaPKA2TzhDqMTSCCkgxo/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Pantaleon Verduzco,,,,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1pyr5kR4iezgsE0R5PubmEWbP367g0nA51bpEIadsASM/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Ferel Mendez,,"San Luis, Mexico; Silacayaoapan, Mexico; Zapotitlan, Mexico; Huinisticlan, Mexico; Huaxacatla, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1XQyQONY3hsA6g0JUTH0VVpO6iFxFBNVufHn3ANXz_zk/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de la Muerte de Emiliano Zapata,,"Tlaltizapan, Mexico; Cuautla, Mexico",,Mexico,,"Warman, E.",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1Rbqgv88sftPne1mCFF3tPr9S8bF5pUvRgSrrs22Tcps/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Venustiano Carranza,,"Tlaxcalantongo, Mexico; Coahuila, Mexico; Sierra de Puebla, Mexico; Juarez, Mexico; Huauchinango, Mexico; Veracruz, Mexico; San Marcos, Mexico",,Mexico,"May 21, 1920","Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/17nnMOWuR6nuFbbckZ_-iORRVXoQhG5PQ2ohzTT2Ld7o/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de la Muerte de Francisco Villa,,"Hidalgo del Parral, Mexico; Torreon, Mexico; Guanajuato, Mexico; Santa Barbara, Mexico",,Mexico,,"Martinez, Ezequil",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1_Uo_XWFAVsWMDc-u88BQhDAh4qkHogv5NhgqlUq3uUc/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de la Batalla de Otoclan,,"Otoclan, Mexico; Tapatia (Guadalajara), Mexico; El Rió Lerma, Mexico; Poncitclan, Mexico; Palo Verde, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/11-0QoyuW8eyI8dgZ9GaXehxIsz0jIj89DghO3K47oQs/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Vargas Vila,,Columbia; Mexico; America (United States),,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/10eutLpDgXZs92of06YV4p4oEAnFBPhDOdpyvXDAu_O0/edit,,compiled by Higinio Vazquez Santa Ana
Corrido del Estad de Guerrero,,"Guerrero, Mexico; Acatempan, Mexico; Ayutla, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1G5KqidFsP9uAtECZPCalHCtCgnhc68kX34rO55rg18I/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de mi Negrita,Profesora doña Carmen García Granados,,"Morelia, Mexico",Mexico,1860,Profesora doña Carmen García Granados,https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1nhqtayBXtu0CpspKxzei_wbO40DqPXRLwAzYto-k3EU/edit,,compiled by Higinio Vazquez Santa Ana
Corrido del Emperador Maximiliano,,"Cerro de las Campanas, Queretero, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1Rdnx230OWrYc7xuJb-YUP015NKz5Z1mv6jmpSsnEVvE/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Simon Gutierrez,,"Jalisco, Mexico; Sierra de Tapalma, Mexico; Sierra del Tigre, Mexico; Vallarta, Mexico; Corona, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1k6lyXyqBwSQqkhsHZla8I79-lT6fD9d2DCFpK_aYIck/edit,,compiled by Higinio Vazquez Santa Ana
Valona de la Republica Mexicana,,"Portal de Flores, Mexico City, Mexico; Zocalo, Mexico City, Mexico; Palacio Nacional, Mexico City, Mexico; Monte de Piedad, Mexico City, Mexico; El Panteón, Mexico City, Mexico; Barrio del Niño Perdido, Mexico City, Mexico; calle Regina, Mexico City, Mexico; calle del ave Maria, Mexico City, Mexico; Church of Soledad, Mexico City, Mexico; estacion Morelos, Mexico City, Mexico; La Palma, Mexico City, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1DPgo2CQ_02ikTkM8Tnah0mb2MHA22JZewCOocef9E7A/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Chucho el Roto,,,,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1-qIUsesaWDKWVrN9P0ypgFmgEWUlNiCUIihLqUw6bc8/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Rodolfo Gaona,,"Plaza del Toreo, Mexico; Guanajuato, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/17Ogg44QVeJCdXlxmRvTVDFbhzTo-ldhMFq9CRfV7oHE/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Demetrio Jauregui,"Martínez, Eulalio","Rancho el Carricillo, Jalisco, Mexico; Jalisco, Mexico",,Mexico,,"Vazquez Santa Ana, Higinio",https://babel.hathitrust.org/cgi/pt?id=inu.30000005354141&view=1up&seq=1&q1=higinio,1926,https://docs.google.com/document/d/1-1bA6CCLK1qdAHvDn2oSv9Tr-RoJCPtgn21ShAyOPJ0/edit,,compiled by Higinio Vazquez Santa Ana
Corrido de Carlos IV,,,,Mexico,1808,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1Coo76thxsIhkaO7YVhPoFnju_mLQt0DtYRc_lI22SpA/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido o Marcha Guererra el Yanqui Invasor,,,,Mexico,1879,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1yKdjcKn-xQJ3ZNmdfhYtwBebk11jbJ5PJFBFsJy-2H0/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de Maximiliano,,"Cerro de las Campanas, Queretero, Mexico; Arteaga, Mexico; Queretero, Mexico",,Mexico,1867,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1kt5Rr_wP8dCMDcxAGlLU9exK-kZ4eJiZ4YLL7I884_E/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de Santanon,,"Veracruz, Mexico","Durango, Mexico; Veracruz, Mexico",Mexico,1918,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1ex3e0is5Y3Tnflu0j-sZChK9taC9VxWiRIC9Kf2uw-8/edit?usp=sharing,,Gríjalva named as composer in the final stanza; collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de los Pelones o los Rateros de Mexico,,,,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1KU3ftJVS3ZP0AJ-e2KWb3qq4Yhk1YSemEziQs5X9luo/edit,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido del General Francisco Tolentino,"Aldama, Ignacio; Pintado, José",,"Guadalajara, Mexico",Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1UDTUYmd7EZ_4k1C2gCJWDRQtmWXL5bwSuWzzU3qVu4U/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de Barbas de Oro,,,,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1JmEIwxURYqa7Uzx7wz1qXEyEy84gjlkiyBX-MgeRumw/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de los Lagartijos,"Cueto, Dámaso; Robles, Tomás",,,Mexico,ca. 1885,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1f5JOljTKa3JJGXvwEFtoT3N2w_JTTMK91mQyDgBxdRI/edit?usp=sharing,,"Collected by Higinio Vázquez Santa Ana (vol 2); published in various editions by ""la casa de Vanegas Arroyo"""
Corrido de Rafaela,,"Apazingo (Apatzingan), Mexico; La Ladrillera, Mexico; Dolores, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/19gfP0j-382AUGt_zfACeXpF41DJpiPSHoIqqwpXAwRA/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido del Indio,,"Guadalajara, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1VKnBx2--hzoQ4SiaphHIBTSGSqtE3wKgb9FAfrWkNe8/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de Guanajuato,,"Guanajuato, Mexico; Tepeji, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/1v5jQfU79BIZmZvYnV9wHBqsXJ_Gpd7uQ5XflnPi5hKA/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
Corrido de Modesta,,"Iguala, Mexico; Tetecala, Mexico; Modesta Ayala, Tetecala, Mexico;  Guerrero, Mexico;  Teloloapan, Mexico",,Mexico,,"Vázquez Santa Ana, Higinio",https://hdl.handle.net/2027/mdp.39015024856752,1925,https://docs.google.com/document/d/13QK13-Z5fNxe6aN5b5rx6OI-Tvgi67EvLRpwUw26e_s/edit?usp=sharing,,Collected by Higinio Vázquez Santa Ana (vol 2)
